date,risk_free_rate,ig_inception_acc,ig_inception_eur_acc,ig_inception_usd_acc,ig_inception_subordinated_acc,ig_ytd_acc,ig_ytd_eur_acc,ig_ytd_usd_acc,ig_ytd_subordinated_acc,xover_ytd_acc,bm_ig_inception_acc,bm_ig_ytd_acc,bm_xover_inception_acc,ig_inception_daily_returns,ig_inception_eur_daily_returns,ig_inception_usd_daily_returns,ig_inception_subordinated_daily_returns,ig_ytd_daily_returns,ig_ytd_eur_daily_returns,ig_ytd_usd_daily_returns,ig_ytd_subordinated_daily_returns,xover_ytd_daily_returns,bm_ig_inception_daily_returns,bm_ig_ytd_daily_returns,bm_xover_inception_daily_returns,ig_inception_excess_returns,ig_inception_eur_excess_returns,ig_inception_usd_excess_returns,ig_inception_subordinated_excess_returns,ig_ytd_excess_returns,ig_ytd_eur_excess_returns,ig_ytd_usd_excess_returns,ig_ytd_subordinated_excess_returns,xover_ytd_eur_excess_returns,ig_inception_rf_returns,ig_inception_eur_rf_returns,ig_inception_usd_rf_returns,ig_inception_subordinated_rf_returns,ig_ytd_rf_returns,ig_ytd_eur_rf_returns,ig_ytd_usd_rf_returns,ig_ytd_subordinated_rf_returns,xover_ytd_eur_rf_returns,bm_ig_inception_rf_returns,bm_ig_ytd_rf_returns,bm_xover_inception_rf_returns,ig_inception_downsidedev,ig_inception_eur_downsidedev,ig_inception_usd_downsidedev,ig_inception_subordinated_downsidedev,ig_ytd_downsidedev,ig_ytd_eur_downsidedev,ig_ytd_usd_downsidedev,ig_ytd_subordinated_downsidedev,xover_ytd_eur_downsidedev,bm_ig_inception_downsidedev,bm_ig_ytd_downsidedev,bm_xover_inception_downsidedev,ig_inception_excess_returns_acc,ig_inception_eur_excess_returns_acc,ig_inception_usd_excess_returns_acc,ig_inception_subordinated_excess_returns_acc,ig_ytd_excess_returns_acc,ig_ytd_eur_excess_returns_acc,ig_ytd_usd_excess_returns_acc,ig_ytd_subordinated_excess_returns_acc,xover_ytd_eur_excess_returns_acc,ig_inception_sum_mv,ig_inception_eur_mv,ig_inception_usd_mv,ig_inception_subordinated_mv,xover_ytd_mv,ig_inception_absolute_returns,ig_inception_eur_absolute_returns,ig_inception_usd_absolute_returns,ig_inception_subordinated_absolute_returns,xover_ytd_absolute_returns,date_monthly_te,monthly_rolling_te,date_quarterly_te,quarterly_rolling_te,date_6m_te,6m_rolling_te
2/28/2018,0.00208164%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%," 346,198,511 "," 346,198,511 ", -   , -   ," 672,255,981 ", -   , -   , -   , -   , -   ,,,,,,
3/1/2018,0.00217421%,0.07%,0.07%,0.00%,0.00%,0.36%,0.59%,0.40%,0.13%,1.63%,0.01%,0.22%,1.57%,0.07%,0.07%,0.00%,0.00%,0.36%,0.59%,0.40%,0.13%,1.63%,0.01%,0.22%,1.57%,0.05%,0.05%,-0.01%,-0.01%,0.14%,0.37%,0.17%,-0.09%,0.05%,0.06%,0.06%,0.00%,0.00%,0.36%,0.59%,0.39%,0.13%,1.62%,0.01%,0.22%,1.57%,,,0.00%,0.00%,,,,,,,,,0.05%,0.05%,-0.01%,-0.01%,0.35%,0.37%,0.17%,-0.09%,0.05%," 388,408,028 "," 388,408,028 ", -   , -   ," 844,804,778 "," 257,167 "," 257,167 ", -   , -   ," 10,340,682 ",,,,,,
3/2/2018,0.00208957%,-0.04%,-0.04%,0.00%,0.00%,0.81%,1.35%,1.00%,0.22%,1.09%,-0.04%,0.45%,0.97%,-0.10%,-0.10%,0.00%,0.00%,0.45%,0.75%,0.60%,0.09%,-0.54%,-0.05%,0.23%,-0.60%,-0.05%,-0.05%,0.05%,0.05%,0.22%,0.53%,0.38%,-0.14%,0.06%,-0.10%,-0.10%,0.00%,0.00%,0.45%,0.75%,0.60%,0.08%,-0.54%,-0.06%,0.22%,-0.60%,-0.10%,-0.10%,0.00%,0.00%,,,,,-0.54%,-0.05%,,-0.60%,0.00%,0.00%,0.04%,0.04%,0.85%,0.90%,0.55%,-0.23%,0.12%," 426,570,167 "," 426,570,167 ", -   , -   ," 840,183,164 "," (88,710)"," (88,710)", -   , -   ," 5,719,067 ",,,,,,
3/5/2018,0.00204516%,-0.05%,-0.05%,0.00%,0.00%,0.76%,1.35%,0.82%,0.19%,0.51%,-0.08%,0.46%,0.66%,-0.02%,-0.02%,0.00%,0.00%,-0.05%,0.01%,-0.18%,-0.03%,-0.57%,-0.04%,0.01%,-0.31%,0.03%,0.03%,0.04%,0.04%,-0.06%,0.00%,-0.19%,-0.03%,-0.26%,-0.02%,-0.02%,0.00%,0.00%,-0.05%,0.01%,-0.18%,-0.03%,-0.58%,-0.04%,0.01%,-0.31%,-0.02%,-0.02%,0.00%,0.00%,-0.05%,0.01%,-0.18%,-0.03%,-0.57%,-0.04%,,-0.31%,0.03%,0.03%,0.08%,0.08%,0.84%,0.90%,0.36%,-0.27%,-0.15%," 426,432,425 "," 426,432,425 ", -   , -   ," 1,031,247,223 "," (226,452)"," (226,452)", -   , -   ," (4,504,574)",,,,,,
3/6/2018,0.00207183%,-0.19%,-0.18%,0.00%,0.00%,0.62%,1.14%,0.46%,0.24%,-0.20%,-0.18%,0.40%,-0.62%,-0.14%,-0.13%,0.00%,0.00%,-0.14%,-0.21%,-0.36%,0.04%,-0.71%,-0.10%,-0.05%,-1.28%,-0.04%,-0.04%,0.10%,0.10%,-0.09%,-0.16%,-0.31%,0.10%,0.57%,-0.14%,-0.13%,0.00%,0.00%,-0.14%,-0.22%,-0.37%,0.04%,-0.72%,-0.10%,-0.05%,-1.29%,-0.14%,-0.13%,0.00%,0.00%,-0.14%,-0.21%,-0.36%,,-0.71%,-0.10%,-0.05%,-1.28%,-0.01%,-0.01%,0.18%,0.18%,0.80%,0.74%,0.05%,-0.17%,0.42%," 456,960,280 "," 440,854,493 ", -   ," 16,105,787 "," 1,045,412,841 "," (651,062)"," (630,620)", -   ," (20,442)"," (10,279,714)",,,,,,
3/7/2018,0.00204308%,-0.17%,-0.17%,0.00%,0.05%,0.39%,0.57%,0.42%,0.16%,0.01%,-0.13%,0.26%,0.14%,0.02%,0.02%,0.00%,0.05%,-0.24%,-0.57%,-0.04%,-0.07%,0.21%,0.05%,-0.15%,0.76%,-0.03%,-0.03%,-0.05%,0.00%,-0.09%,-0.42%,0.11%,0.08%,-0.55%,0.02%,0.01%,0.00%,0.05%,-0.24%,-0.57%,-0.04%,-0.08%,0.21%,0.05%,-0.15%,0.76%,,,0.00%,,-0.24%,-0.57%,-0.04%,-0.07%,,,-0.15%,,-0.04%,-0.04%,0.13%,0.17%,0.51%,0.32%,0.16%,-0.09%,-0.13%," 503,872,537 "," 487,756,993 ", -   ," 16,115,544 "," 1,049,874,397 "," (510,649)"," (499,964)", -   ," (10,686)"," (5,818,158)",,,,,,
3/8/2018,0.00216444%,-0.08%,-0.08%,0.00%,0.36%,0.27%,0.08%,0.10%,0.44%,-0.36%,0.00%,0.08%,-0.07%,0.09%,0.09%,0.00%,0.31%,-0.12%,-0.50%,-0.32%,0.27%,-0.37%,0.13%,-0.17%,-0.21%,-0.03%,-0.04%,-0.13%,0.18%,0.05%,-0.32%,-0.14%,0.45%,-0.16%,0.09%,0.09%,0.00%,0.31%,-0.12%,-0.50%,-0.32%,0.27%,-0.37%,0.13%,-0.17%,-0.21%,,,0.00%,,-0.12%,-0.50%,-0.32%,,-0.37%,,-0.17%,-0.21%,-0.08%,-0.08%,0.00%,0.35%,0.26%,-0.01%,0.02%,0.35%,-0.29%," 507,963,658 "," 491,797,739 ", -   ," 16,165,919 "," 1,048,753,922 "," (4,975)"," (44,665)", -   ," 39,690 "," (6,938,634)",,,,,,
3/9/2018,0.00209375%,-0.04%,-0.04%,0.00%,0.54%,0.41%,0.21%,0.44%,0.51%,0.44%,-0.01%,0.14%,1.24%,0.04%,0.03%,0.00%,0.19%,0.14%,0.13%,0.34%,0.07%,0.80%,-0.01%,0.06%,1.31%,0.05%,0.05%,0.01%,0.20%,0.08%,0.07%,0.28%,0.01%,-0.51%,0.04%,0.03%,0.00%,0.19%,0.14%,0.13%,0.34%,0.07%,0.80%,-0.02%,0.06%,1.31%,,,0.00%,,,,,,,-0.01%,,,-0.03%,-0.03%,0.01%,0.55%,0.42%,0.07%,0.30%,0.37%,-0.80%," 516,139,410 "," 499,945,936 ", -   ," 16,193,473 "," 1,054,864,145 "," 109,967 "," 42,722 ", -   ," 67,244 "," (828,410)",,,,,,
3/12/2018,0.00198015%,0.07%,0.06%,0.00%,0.70%,0.25%,-0.26%,0.38%,0.50%,0.31%,0.10%,0.01%,1.31%,0.10%,0.10%,0.00%,0.15%,-0.16%,-0.47%,-0.06%,-0.01%,-0.14%,0.11%,-0.13%,0.07%,-0.01%,-0.01%,-0.11%,0.04%,-0.03%,-0.34%,0.08%,0.12%,-0.21%,0.10%,0.10%,0.00%,0.15%,-0.16%,-0.47%,-0.06%,-0.01%,-0.14%,0.11%,-0.14%,0.07%,,,0.00%,,-0.16%,-0.47%,-0.06%,-0.01%,-0.14%,,-0.13%,,-0.03%,-0.04%,-0.10%,0.60%,0.15%,-0.27%,0.38%,0.49%,-1.01%," 567,982,989 "," 551,763,483 ", -   ," 16,219,505 "," 1,194,642,041 "," 683,566 "," 590,289 ", -   ," 93,276 "," 1,383,141 ",,,,,,
3/13/2018,0.00205503%,0.07%,0.07%,0.00%,0.63%,0.38%,-0.11%,0.77%,0.46%,-0.23%,0.12%,0.05%,1.05%,0.00%,0.01%,0.00%,-0.07%,0.13%,0.16%,0.39%,-0.04%,-0.53%,0.02%,0.05%,-0.26%,-0.02%,-0.01%,-0.02%,-0.09%,0.08%,0.11%,0.34%,-0.08%,-0.27%,0.00%,0.00%,0.00%,-0.07%,0.12%,0.15%,0.38%,-0.04%,-0.53%,0.02%,0.05%,-0.26%,0.00%,0.01%,0.00%,-0.07%,,,,-0.04%,-0.53%,,,-0.26%,-0.05%,-0.05%,-0.12%,0.51%,0.26%,-0.16%,0.72%,0.41%,-1.28%," 598,467,109 "," 582,261,774 ", -   ," 16,205,335 "," 1,300,654,012 "," 612,371 "," 533,264 ", -   ," 79,106 "," (5,053,976)",,,,,,
